drugpair,label
"('Compound::DB00612', 'Compound::DB05812')",2
"('Compound::DB00188', 'Compound::DB05812')",2
"('Compound::DB00559', 'Compound::DB05812')",2
"('Compound::DB09128', 'Compound::DB05812')",2
"('Compound::DB12267', 'Compound::DB05812')",2
"('Compound::DB05541', 'Compound::DB05812')",0
"('Compound::DB01558', 'Compound::DB05812')",2
"('Compound::DB00835', 'Compound::DB05812')",2
"('Compound::DB00297', 'Compound::DB05812')",2
"('Compound::DB00921', 'Compound::DB05812')",2
"('Compound::DB01156', 'Compound::DB05812')",2
"('Compound::DB00490', 'Compound::DB05812')",2
"('Compound::DB06772', 'Compound::DB05812')",2
"('Compound::DB08875', 'Compound::DB05812')",0
"('Compound::DB00201', 'Compound::DB05812')",2
"('Compound::DB00796', 'Compound::DB05812')",0
"('Compound::DB09061', 'Compound::DB05812')",0
"('Compound::DB01197', 'Compound::DB05812')",2
"('Compound::DB00564', 'Compound::DB05812')",3
"('Compound::DB00748', 'Compound::DB05812')",2
"('Compound::DB06016', 'Compound::DB05812')",2
"('Compound::DB00395', 'Compound::DB05812')",0
"('Compound::DB00262', 'Compound::DB05812')",2
"('Compound::DB00521', 'Compound::DB05812')",2
"('Compound::DB01136', 'Compound::DB05812')",2
"('Compound::DB00482', 'Compound::DB05812')",0
"('Compound::DB09063', 'Compound::DB05812')",2
"('Compound::DB00439', 'Compound::DB05812')",2
"('Compound::DB00185', 'Compound::DB05812')",2
"('Compound::DB00446', 'Compound::DB05812')",0
"('Compound::DB00608', 'Compound::DB05812')",2
"('Compound::DB01114', 'Compound::DB05812')",2
"('Compound::DB00477', 'Compound::DB05812')",2
"('Compound::DB00672', 'Compound::DB05812')",0
"('Compound::DB00356', 'Compound::DB05812')",2
"('Compound::DB01166', 'Compound::DB05812')",2
"('Compound::DB01012', 'Compound::DB05812')",2
"('Compound::DB00568', 'Compound::DB05812')",2
"('Compound::DB00604', 'Compound::DB05812')",2
"('Compound::DB00215', 'Compound::DB05812')",2
"('Compound::DB01211', 'Compound::DB05812')",0
"('Compound::DB00283', 'Compound::DB05812')",0
"('Compound::DB01407', 'Compound::DB05812')",2
"('Compound::DB04920', 'Compound::DB05812')",2
"('Compound::DB01242', 'Compound::DB05812')",2
"('Compound::DB00575', 'Compound::DB05812')",2
"('Compound::DB00758', 'Compound::DB05812')",38
"('Compound::DB05812', 'Compound::DB01559')",0
"('Compound::DB05812', 'Compound::DB00257')",0
"('Compound::DB05812', 'Compound::DB00363')",2
"('Compound::DB05812', 'Compound::DB00318')",2
"('Compound::DB05812', 'Compound::DB00872')",2
"('Compound::DB05812', 'Compound::DB08865')",0
"('Compound::DB05812', 'Compound::DB00924')",2
"('Compound::DB05812', 'Compound::DB00531')",2
"('Compound::DB05812', 'Compound::DB00091')",0
"('Compound::DB05812', 'Compound::DB08912')",3
"('Compound::DB05812', 'Compound::DB00851')",2
"('Compound::DB05812', 'Compound::DB06292')",2
"('Compound::DB05812', 'Compound::DB00496')",2
"('Compound::DB05812', 'Compound::DB01254')",2
"('Compound::DB05812', 'Compound::DB00694')",2
"('Compound::DB05812', 'Compound::DB04840')",2
"('Compound::DB05812', 'Compound::DB01151')",2
"('Compound::DB05812', 'Compound::DB12161')",2
"('Compound::DB05812', 'Compound::DB09555')",2
"('Compound::DB05812', 'Compound::DB01191')",2
"('Compound::DB05812', 'Compound::DB05351')",0
"('Compound::DB05812', 'Compound::DB06701')",2
"('Compound::DB05812', 'Compound::DB01576')",2
"('Compound::DB05812', 'Compound::DB00514')",2
"('Compound::DB05812', 'Compound::DB00829')",2
"('Compound::DB05812', 'Compound::DB00586')",2
"('Compound::DB05812', 'Compound::DB00266')",0
"('Compound::DB05812', 'Compound::DB01396')",18
"('Compound::DB05812', 'Compound::DB00390')",18
"('Compound::DB05812', 'Compound::DB00320')",0
"('Compound::DB05812', 'Compound::DB00343')",2
"('Compound::DB05812', 'Compound::DB00917')",2
"('Compound::DB05812', 'Compound::DB01075')",2
"('Compound::DB05812', 'Compound::DB01248')",1
"('Compound::DB05812', 'Compound::DB03756')",0
"('Compound::DB05812', 'Compound::DB00757')",2
"('Compound::DB05812', 'Compound::DB01184')",2
"('Compound::DB05812', 'Compound::DB00843')",2
"('Compound::DB05812', 'Compound::DB00988')",2
"('Compound::DB05812', 'Compound::DB00869')",0
"('Compound::DB05812', 'Compound::DB00590')",2
"('Compound::DB05812', 'Compound::DB01142')",2
"('Compound::DB05812', 'Compound::DB00997')",2
"('Compound::DB05812', 'Compound::DB00254')",0
"('Compound::DB05812', 'Compound::DB00470')",2
"('Compound::DB05812', 'Compound::DB04855')",2
"('Compound::DB05812', 'Compound::DB00476')",2
"('Compound::DB05812', 'Compound::DB00216')",2
"('Compound::DB05812', 'Compound::DB09039')",2
"('Compound::DB05812', 'Compound::DB06210')",2
"('Compound::DB05812', 'Compound::DB13874')",2
"('Compound::DB05812', 'Compound::DB01228')",2
"('Compound::DB05812', 'Compound::DB08899')",3
"('Compound::DB05812', 'Compound::DB00751')",2
"('Compound::DB05812', 'Compound::DB01240')",0
"('Compound::DB05812', 'Compound::DB00696')",2
"('Compound::DB05812', 'Compound::DB00530')",2
"('Compound::DB05812', 'Compound::DB00199')",0
"('Compound::DB05812', 'Compound::DB01175')",2
"('Compound::DB05812', 'Compound::DB00736')",0
"('Compound::DB05812', 'Compound::DB00783')",2
"('Compound::DB05812', 'Compound::DB00655')",2
"('Compound::DB05812', 'Compound::DB04574')",2
"('Compound::DB05812', 'Compound::DB00402')",2
"('Compound::DB05812', 'Compound::DB00898')",2
"('Compound::DB05812', 'Compound::DB01466')",2
"('Compound::DB05812', 'Compound::DB09166')",0
"('Compound::DB05812', 'Compound::DB00749')",0
"('Compound::DB05812', 'Compound::DB00773')",2
"('Compound::DB05812', 'Compound::DB01628')",2
"('Compound::DB05812', 'Compound::DB00927')",0
"('Compound::DB05812', 'Compound::DB06702')",2
"('Compound::DB05812', 'Compound::DB08868')",2
"('Compound::DB05812', 'Compound::DB01195')",2
"('Compound::DB05812', 'Compound::DB04841')",2
"('Compound::DB05812', 'Compound::DB01544')",2
"('Compound::DB05812', 'Compound::DB00544')",2
"('Compound::DB05812', 'Compound::DB00472')",2
"('Compound::DB05812', 'Compound::DB00623')",2
"('Compound::DB05812', 'Compound::DB00712')",0
"('Compound::DB05812', 'Compound::DB00499')",2
"('Compound::DB05812', 'Compound::DB01095')",2
"('Compound::DB05812', 'Compound::DB00176')",2
"('Compound::DB05812', 'Compound::DB00983')",2
"('Compound::DB05812', 'Compound::DB01320')",3
"('Compound::DB05812', 'Compound::DB00998')",2
"('Compound::DB05812', 'Compound::DB00674')",2
"('Compound::DB05812', 'Compound::DB00317')",2
"('Compound::DB05812', 'Compound::DB01120')",0
"('Compound::DB05812', 'Compound::DB00222')",0
"('Compound::DB05812', 'Compound::DB01067')",0
"('Compound::DB05812', 'Compound::DB01296')",0
"('Compound::DB05812', 'Compound::DB01016')",0
"('Compound::DB05812', 'Compound::DB00889')",2
"('Compound::DB05812', 'Compound::DB00629')",2
"('Compound::DB05812', 'Compound::DB01018')",0
"('Compound::DB05812', 'Compound::DB01218')",2
"('Compound::DB05812', 'Compound::DB00502')",2
"('Compound::DB05812', 'Compound::DB01159')",2
"('Compound::DB05812', 'Compound::DB01094')",2
"('Compound::DB05812', 'Compound::DB01355')",2
"('Compound::DB05812', 'Compound::DB05381')",0
"('Compound::DB05812', 'Compound::DB00956')",2
"('Compound::DB05812', 'Compound::DB00327')",2
"('Compound::DB05812', 'Compound::DB09053')",2
"('Compound::DB05812', 'Compound::DB01050')",2
"('Compound::DB05812', 'Compound::DB11737')",2
"('Compound::DB05812', 'Compound::DB01177')",2
"('Compound::DB05812', 'Compound::DB01181')",2
"('Compound::DB05812', 'Compound::DB04946')",2
"('Compound::DB05812', 'Compound::DB00619')",2
"('Compound::DB05812', 'Compound::DB00458')",2
"('Compound::DB05812', 'Compound::DB00724')",2
"('Compound::DB05812', 'Compound::DB00328')",0
"('Compound::DB05812', 'Compound::DB00332')",2
"('Compound::DB05812', 'Compound::DB01029')",2
"('Compound::DB05812', 'Compound::DB11633')",2
"('Compound::DB05812', 'Compound::DB00270')",0
"('Compound::DB05812', 'Compound::DB01167')",0
"('Compound::DB05812', 'Compound::DB08820')",2
"('Compound::DB05812', 'Compound::DB01221')",2
"('Compound::DB05812', 'Compound::DB06738')",2
"('Compound::DB05812', 'Compound::DB01026')",0
"('Compound::DB05812', 'Compound::DB01009')",0
"('Compound::DB05812', 'Compound::DB00598')",2
"('Compound::DB05812', 'Compound::DB00448')",2
"('Compound::DB05812', 'Compound::DB01259')",2
"('Compound::DB05812', 'Compound::DB01097')",2
"('Compound::DB05812', 'Compound::DB11560')",0
"('Compound::DB05812', 'Compound::DB01002')",2
"('Compound::DB05812', 'Compound::DB01235')",2
"('Compound::DB05812', 'Compound::DB08918')",2
"('Compound::DB05812', 'Compound::DB00281')",2
"('Compound::DB05812', 'Compound::DB00589')",2
"('Compound::DB05812', 'Compound::DB00978')",2
"('Compound::DB05812', 'Compound::DB01206')",2
"('Compound::DB05812', 'Compound::DB00836')",2
"('Compound::DB05812', 'Compound::DB00455')",2
"('Compound::DB05812', 'Compound::DB04871')",2
"('Compound::DB05812', 'Compound::DB06725')",0
"('Compound::DB05812', 'Compound::DB00678')",2
"('Compound::DB05812', 'Compound::DB00227')",0
"('Compound::DB05812', 'Compound::DB09280')",3
"('Compound::DB05812', 'Compound::DB01283')",2
"('Compound::DB05812', 'Compound::DB08932')",0
"('Compound::DB05812', 'Compound::DB00772')",2
"('Compound::DB05812', 'Compound::DB00934')",2
"('Compound::DB05812', 'Compound::DB00784')",2
"('Compound::DB05812', 'Compound::DB01065')",2
"('Compound::DB05812', 'Compound::DB00814')",2
"('Compound::DB05812', 'Compound::DB00170')",2
"('Compound::DB05812', 'Compound::DB00371')",0
"('Compound::DB05812', 'Compound::DB01071')",2
"('Compound::DB05812', 'Compound::DB00933')",2
"('Compound::DB05812', 'Compound::DB01357')",0
"('Compound::DB05812', 'Compound::DB00333')",2
"('Compound::DB05812', 'Compound::DB01577')",2
"('Compound::DB05812', 'Compound::DB01403')",2
"('Compound::DB05812', 'Compound::DB01028')",2
"('Compound::DB05812', 'Compound::DB05246')",0
"('Compound::DB05812', 'Compound::DB00422')",2
"('Compound::DB05812', 'Compound::DB00849')",0
"('Compound::DB05812', 'Compound::DB01107')",2
"('Compound::DB05812', 'Compound::DB01233')",2
"('Compound::DB05812', 'Compound::DB00264')",2
"('Compound::DB05812', 'Compound::DB00916')",0
"('Compound::DB05812', 'Compound::DB00379')",2
"('Compound::DB05812', 'Compound::DB06148')",2
"('Compound::DB05812', 'Compound::DB00834')",2
"('Compound::DB05812', 'Compound::DB00805')",2
"('Compound::DB05812', 'Compound::DB08893')",2
"('Compound::DB05812', 'Compound::DB00370')",2
"('Compound::DB05812', 'Compound::DB00648')",3
"('Compound::DB05812', 'Compound::DB01171')",2
"('Compound::DB05812', 'Compound::DB00471')",0
"('Compound::DB05812', 'Compound::DB00295')",2
"('Compound::DB05812', 'Compound::DB00688')",2
"('Compound::DB05812', 'Compound::DB00461')",2
"('Compound::DB05812', 'Compound::DB01183')",2
"('Compound::DB05812', 'Compound::DB00788')",2
"('Compound::DB05812', 'Compound::DB00731')",2
"('Compound::DB05812', 'Compound::DB04861')",2
"('Compound::DB05812', 'Compound::DB01149')",2
"('Compound::DB05812', 'Compound::DB09048')",2
"('Compound::DB05812', 'Compound::DB00622')",2
"('Compound::DB01193', 'Compound::DB06736')",9
"('Compound::DB01193', 'Compound::DB13783')",4
"('Compound::DB01193', 'Compound::DB03128')",1
"('Compound::DB01193', 'Compound::DB00945')",9
"('Compound::DB01193', 'Compound::DB00802')",13
"('Compound::DB01193', 'Compound::DB00346')",7
"('Compound::DB01193', 'Compound::DB01246')",7
"('Compound::DB01193', 'Compound::DB09026')",7
"('Compound::DB01193', 'Compound::DB00866')",7
"('Compound::DB01193', 'Compound::DB01122')",13
"('Compound::DB01193', 'Compound::DB06403')",7
"('Compound::DB01193', 'Compound::DB01143')",7
"('Compound::DB01193', 'Compound::DB00594')",1
"('Compound::DB01193', 'Compound::DB01223')",29
"('Compound::DB01193', 'Compound::DB01118')",15
"('Compound::DB01193', 'Compound::DB00381')",7
"('Compound::DB01193', 'Compound::DB01351')",3
"('Compound::DB01193', 'Compound::DB00613')",0
"('Compound::DB01193', 'Compound::DB00182')",1
"('Compound::DB01193', 'Compound::DB01612')",1
"('Compound::DB01193', 'Compound::DB01435')",9
"('Compound::DB01193', 'Compound::DB00714')",20
"('Compound::DB01193', 'Compound::DB05676')",9
"('Compound::DB01193', 'Compound::DB01274')",29
"('Compound::DB01193', 'Compound::DB01238')",7
"('Compound::DB01193', 'Compound::DB01169')",1
"('Compound::DB01193', 'Compound::DB00289')",32
"('Compound::DB01193', 'Compound::DB06237')",25
"('Compound::DB01193', 'Compound::DB00972')",9
"('Compound::DB01193', 'Compound::DB01014')",9
"('Compound::DB01193', 'Compound::DB01408')",29
"('Compound::DB01193', 'Compound::DB00542')",7
"('Compound::DB01193', 'Compound::DB00436')",7
"('Compound::DB01193', 'Compound::DB00865')",20
"('Compound::DB01193', 'Compound::DB01244')",7
"('Compound::DB01193', 'Compound::DB00195')",7
"('Compound::DB01193', 'Compound::DB00612')",7
"('Compound::DB01193', 'Compound::DB00188')",1
"('Compound::DB01193', 'Compound::DB00559')",7
"('Compound::DB01193', 'Compound::DB00484')",25
"('Compound::DB01193', 'Compound::DB00963')",9
"('Compound::DB01193', 'Compound::DB01200')",20
"('Compound::DB01193', 'Compound::DB00887')",1
"('Compound::DB01193', 'Compound::DB00297')",2
"('Compound::DB01193', 'Compound::DB00248')",33
"('Compound::DB01193', 'Compound::DB08907')",1
"('Compound::DB01193', 'Compound::DB00796')",7
"('Compound::DB01193', 'Compound::DB01197')",7
"('Compound::DB01193', 'Compound::DB00411')",1
"('Compound::DB01193', 'Compound::DB00521')",7
"('Compound::DB01193', 'Compound::DB01136')",17
"('Compound::DB01193', 'Compound::DB00482')",9
"('Compound::DB01193', 'Compound::DB04846')",1
"('Compound::DB01193', 'Compound::DB09063')",13
"('Compound::DB01193', 'Compound::DB00185')",1
"('Compound::DB01193', 'Compound::DB00608')",0
"('Compound::DB01193', 'Compound::DB00477')",7
"('Compound::DB01193', 'Compound::DB00672')",10
"('Compound::DB01193', 'Compound::DB09232')",1
"('Compound::DB01193', 'Compound::DB01407')",1
"('Compound::DB01193', 'Compound::DB04920')",1
"('Compound::DB01193', 'Compound::DB00631')",1
"('Compound::DB01193', 'Compound::DB01242')",1
"('Compound::DB01193', 'Compound::DB00575')",20
"('Compound::DB01193', 'Compound::DB00363')",1
"('Compound::DB01193', 'Compound::DB00872')",1
"('Compound::DB01193', 'Compound::DB08865')",13
"('Compound::DB01193', 'Compound::DB06292')",1
"('Compound::DB01193', 'Compound::DB04840')",7
"('Compound::DB01193', 'Compound::DB01245')",13
"('Compound::DB01193', 'Compound::DB06700')",2
"('Compound::DB01193', 'Compound::DB00633')",20
"('Compound::DB01193', 'Compound::DB01119')",7
"('Compound::DB01193', 'Compound::DB00586')",9
"('Compound::DB01193', 'Compound::DB01144')",1
"('Compound::DB01193', 'Compound::DB00861')",9
"('Compound::DB01193', 'Compound::DB01396')",13
"('Compound::DB01193', 'Compound::DB00390')",13
"('Compound::DB01193', 'Compound::DB00320')",20
"('Compound::DB01193', 'Compound::DB00343')",7
"('Compound::DB01193', 'Compound::DB00280')",13
"('Compound::DB01193', 'Compound::DB00841')",1
"('Compound::DB01193', 'Compound::DB00843')",13
"('Compound::DB01193', 'Compound::DB00988')",1
"('Compound::DB01193', 'Compound::DB00869')",7
"('Compound::DB01193', 'Compound::DB00590')",17
"('Compound::DB01193', 'Compound::DB00470')",22
"('Compound::DB01193', 'Compound::DB04855')",13
"('Compound::DB01193', 'Compound::DB06262')",20
"('Compound::DB01193', 'Compound::DB00476')",17
"('Compound::DB01193', 'Compound::DB09235')",7
"('Compound::DB01193', 'Compound::DB00584')",7
"('Compound::DB01193', 'Compound::DB01364')",1
"('Compound::DB01193', 'Compound::DB00668')",20
"('Compound::DB01193', 'Compound::DB00700')",1
"('Compound::DB01193', 'Compound::DB01240')",7
"('Compound::DB01193', 'Compound::DB00876')",7
"('Compound::DB01193', 'Compound::DB01253')",33
"('Compound::DB01193', 'Compound::DB00696')",20
"('Compound::DB01193', 'Compound::DB00903')",1
"('Compound::DB01193', 'Compound::DB00749')",9
"('Compound::DB01193', 'Compound::DB00292')",20
"('Compound::DB01193', 'Compound::DB01628')",9
"('Compound::DB01193', 'Compound::DB01023')",7
"('Compound::DB01193', 'Compound::DB00813')",13
"('Compound::DB01193', 'Compound::DB06702')",12
"('Compound::DB08868', 'Compound::DB01193')",13
"('Compound::DB00472', 'Compound::DB01193')",2
"('Compound::DB00623', 'Compound::DB01193')",7
"('Compound::DB00712', 'Compound::DB01193')",9
"('Compound::DB00983', 'Compound::DB01193')",29
"('Compound::DB00695', 'Compound::DB01193')",1
"('Compound::DB00674', 'Compound::DB01193')",13
"('Compound::DB01120', 'Compound::DB01193')",10
"('Compound::DB00222', 'Compound::DB01193')",10
"('Compound::DB01067', 'Compound::DB01193')",10
"('Compound::DB01016', 'Compound::DB01193')",10
"('Compound::DB00629', 'Compound::DB01193')",20
"('Compound::DB01170', 'Compound::DB01193')",7
"('Compound::DB01018', 'Compound::DB01193')",20
"('Compound::DB01159', 'Compound::DB01193')",1
"('Compound::DB01355', 'Compound::DB01193')",3
"('Compound::DB01275', 'Compound::DB01193')",7
"('Compound::DB01611', 'Compound::DB01193')",0
"('Compound::DB01050', 'Compound::DB01193')",9
"('Compound::DB00458', 'Compound::DB01193')",1
"('Compound::DB05039', 'Compound::DB01193')",29
"('Compound::DB00808', 'Compound::DB01193')",7
"('Compound::DB00328', 'Compound::DB01193')",9
"('Compound::DB01029', 'Compound::DB01193')",7
"('Compound::DB11633', 'Compound::DB01193')",2
"('Compound::DB00753', 'Compound::DB01193')",1
"('Compound::DB00677', 'Compound::DB01193')",13
"('Compound::DB01064', 'Compound::DB01193')",1
"('Compound::DB00883', 'Compound::DB01193')",1
"('Compound::DB01020', 'Compound::DB01193')",1
"('Compound::DB00270', 'Compound::DB01193')",7
"('Compound::DB01009', 'Compound::DB01193')",9
"('Compound::DB00598', 'Compound::DB01193')",17
"('Compound::DB01097', 'Compound::DB01193')",9
"('Compound::DB00528', 'Compound::DB01193')",7
"('Compound::DB01002', 'Compound::DB01193')",1
"('Compound::DB01235', 'Compound::DB01193')",17
"('Compound::DB08918', 'Compound::DB01193')",2
"('Compound::DB13139', 'Compound::DB01193')",29
"('Compound::DB00281', 'Compound::DB01193')",2
"('Compound::DB06725', 'Compound::DB01193')",9
"('Compound::DB00678', 'Compound::DB01193')",7
"('Compound::DB09212', 'Compound::DB01193')",9
"('Compound::DB09280', 'Compound::DB01193')",3
"('Compound::DB01283', 'Compound::DB01193')",9
"('Compound::DB08932', 'Compound::DB01193')",7
"('Compound::DB00772', 'Compound::DB01193')",13
"('Compound::DB00179', 'Compound::DB01193')",9
"('Compound::DB00784', 'Compound::DB01193')",9
"('Compound::DB00358', 'Compound::DB01193')",13
"('Compound::DB00814', 'Compound::DB01193')",9
"('Compound::DB01043', 'Compound::DB01193')",13
"('Compound::DB00933', 'Compound::DB01193')",7
"('Compound::DB01577', 'Compound::DB01193')",20
"('Compound::DB00703', 'Compound::DB01193')",1
"('Compound::DB01403', 'Compound::DB01193')",7
"('Compound::DB00968', 'Compound::DB01193')",7
"('Compound::DB00353', 'Compound::DB01193')",33
"('Compound::DB00422', 'Compound::DB01193')",9
"('Compound::DB00849', 'Compound::DB01193')",3
"('Compound::DB01233', 'Compound::DB01193')",13
"('Compound::DB00264', 'Compound::DB01193')",2
"('Compound::DB00211', 'Compound::DB01193')",13
"('Compound::DB00805', 'Compound::DB01193')",13
"('Compound::DB01171', 'Compound::DB01193')",7
"('Compound::DB09282', 'Compound::DB01193')",7
"('Compound::DB00295', 'Compound::DB01193')",1
"('Compound::DB00688', 'Compound::DB01193')",9
"('Compound::DB01024', 'Compound::DB01193')",9
"('Compound::DB00486', 'Compound::DB01193')",1
"('Compound::DB00461', 'Compound::DB01193')",9
"('Compound::DB00788', 'Compound::DB01193')",9
"('Compound::DB04861', 'Compound::DB01193')",7
"('Compound::DB01149', 'Compound::DB01193')",2
"('Compound::DB01400', 'Compound::DB01193')",13
"('Compound::DB00622', 'Compound::DB01193')",7
"('Compound::DB13783', 'Compound::DB06736')",1
"('Compound::DB01418', 'Compound::DB06736')",11
"('Compound::DB00945', 'Compound::DB06736')",1
"('Compound::DB00240', 'Compound::DB06736')",1
"('Compound::DB09026', 'Compound::DB06736')",9
"('Compound::DB00866', 'Compound::DB06736')",9
"('Compound::DB00594', 'Compound::DB06736')",9
"('Compound::DB01118', 'Compound::DB06736')",0
"('Compound::DB06263', 'Compound::DB06736')",19
"('Compound::DB01435', 'Compound::DB06736')",1
"('Compound::DB06605', 'Compound::DB06736')",11
"('Compound::DB05676', 'Compound::DB06736')",1
"('Compound::DB00673', 'Compound::DB06736')",8
"('Compound::DB00278', 'Compound::DB06736')",11
"('Compound::DB00972', 'Compound::DB06736')",1
"('Compound::DB01014', 'Compound::DB06736')",31
"('Compound::DB00394', 'Compound::DB06736')",1
"('Compound::DB00542', 'Compound::DB06736')",1
"('Compound::DB00436', 'Compound::DB06736')",4
"('Compound::DB00443', 'Compound::DB06736')",1
"('Compound::DB00195', 'Compound::DB06736')",9
"('Compound::DB12364', 'Compound::DB06736')",40
"('Compound::DB00612', 'Compound::DB06736')",9
"('Compound::DB00006', 'Compound::DB06736')",11
"('Compound::DB00963', 'Compound::DB06736')",1
"('Compound::DB01222', 'Compound::DB06736')",1
"('Compound::DB00887', 'Compound::DB06736')",4
"('Compound::DB00796', 'Compound::DB06736')",1
"('Compound::DB01101', 'Compound::DB06736')",0
"('Compound::DB01197', 'Compound::DB06736')",1
"('Compound::DB00564', 'Compound::DB06736')",8
"('Compound::DB00521', 'Compound::DB06736')",9
"('Compound::DB01136', 'Compound::DB06736')",9
"('Compound::DB00482', 'Compound::DB06736')",1
"('Compound::DB04846', 'Compound::DB06736')",9
"('Compound::DB09063', 'Compound::DB06736')",2
"('Compound::DB00608', 'Compound::DB06736')",1
"('Compound::DB00169', 'Compound::DB06736')",0
"('Compound::DB01410', 'Compound::DB06736')",1
"('Compound::DB01013', 'Compound::DB06736')",1
"('Compound::DB00720', 'Compound::DB06736')",1
"('Compound::DB00257', 'Compound::DB06736')",0
"('Compound::DB01380', 'Compound::DB06736')",1
"('Compound::DB05219', 'Compound::DB06736')",0
"('Compound::DB00091', 'Compound::DB06736')",31
"('Compound::DB06695', 'Compound::DB06736')",11
"('Compound::DB08912', 'Compound::DB06736')",3
"('Compound::DB00694', 'Compound::DB06736')",19
"('Compound::DB00035', 'Compound::DB06736')",1
"('Compound::DB01234', 'Compound::DB06736')",1
"('Compound::DB09214', 'Compound::DB06736')",1
"('Compound::DB00586', 'Compound::DB06736')",1
"('Compound::DB00266', 'Compound::DB06736')",11
"('Compound::DB00861', 'Compound::DB06736')",1
"('Compound::DB00390', 'Compound::DB06736')",2
"('Compound::DB00917', 'Compound::DB06736')",4
"('Compound::DB09167', 'Compound::DB06736')",0
"('Compound::DB00997', 'Compound::DB06736')",19
"('Compound::DB01395', 'Compound::DB06736')",30
"('Compound::DB00584', 'Compound::DB06736')",1
"('Compound::DB00467', 'Compound::DB06736')",34
"('Compound::DB00445', 'Compound::DB06736')",19
"('Compound::DB00700', 'Compound::DB06736')",9
"('Compound::DB01240', 'Compound::DB06736')",4
